,Core,R1,R10,R11,R12,R2,R3,R4,R5,R6,R7,R8,R9,SMILES
37,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],CCO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)cc1
38,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],COC(=O)[*:5],Cl[*:6],[H][*:7],[H][*:8],[H][*:9],COC(=O)c1ccccc1NC(=O)C(C#N)=Cc1ccc(OCc2ccc(Cl)cc2)c(OC)c1
39,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],Cl[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2cccc(Cl)c2)ccc1OCc1ccc(C(=O)O)cc1
40,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],[H][*:5],[H][*:6],O=C(O)[*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccccc2)ccc1OCc1cccc(C(=O)O)c1
41,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],COC(=O)[*:5],F[*:6],[H][*:7],[H][*:8],[H][*:9],COC(=O)c1ccccc1NC(=O)C(C#N)=Cc1ccc(OCc2ccc(F)cc2)c(OC)c1
42,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],CC[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)c(OC)c2)cc1
43,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],C[*:3],C[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccc(C)c(C)c2)ccc1OCc1ccc(C(=O)O)cc1
44,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],C[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2ccc(C)cc2)ccc1OCc1ccc(C(=O)O)cc1
45,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],C[*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],Cl[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2cc(Cl)ccc2C)ccc1OCc1ccc(C(=O)O)cc1
46,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],C[*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2ccccc2C)ccc1OCc1ccc(C(=O)O)cc1
